id,track_name,popularity,track_id,duration_ms,album_name,release_date,total_tracks,artist_names,artist_ids,genre
858,Neon Pill,60,0cgyeBU54kjmI54TflMANg,201240,Neon Pill,2024-05-17,12,['Cage The Elephant'],['26T3LtbuGT1Fu9m0eRq5X3'],blues
859,Horns,63,49qEikVVPd6PgH6S2pbXjZ,217625,Heaven on Hold,2017-10-20,7,['Bryce Fox'],['6g878dtAhjegRHVe5X0ALf'],blues
860,Broken Boy,60,0RbcDELsGTciLeMGsSdJAc,163200,Social Cues,2019-04-19,13,['Cage The Elephant'],['26T3LtbuGT1Fu9m0eRq5X3'],blues
861,Figure It Out,57,6V0A3jkb9ntudO0kmcJ1xd,183602,Royal Blood,2014-08-18,10,['Royal Blood'],['2S5hlvw4CMtMGswFtfdK15'],blues
862,You're The One,60,0iYBNrznkCwhN3xCmNVJpo,266933,Anthem Of The Peaceful Army,2018-10-19,11,['Greta Van Fleet'],['4NpFxQe2UvRCAjto3JqlSl'],blues
863,Orange Blossoms,56,2HTF6COSIKrwpP8NcbtdBa,281026,Orange Blossoms,2008-08-26,12,['JJ Grey & Mofro'],['1Jl8u1U1GtBlwocZK5LWZv'],blues
864,Mess Around,58,0X0Lz7LwpiIWcdGqVWaxXD,173173,Tell Me I'm Pretty,2015-12-18,10,['Cage The Elephant'],['26T3LtbuGT1Fu9m0eRq5X3'],blues
865,America's Sweetheart,59,2NcstvY8H9PVQ0DMNGHckh,245546,Love Stuff,2015-02-13,12,['Elle King'],['3bhu7P5PfngueRHiB9hjcx'],blues
866,Wildflowers & Wine,58,1l8TpQdbsiQvMB9SuPsaiv,288120,El Dorado,2020-01-17,12,['Marcus King'],['0FeWKiZSwBRdGzqeCdlH1a'],blues
867,Hit the Road Jack,68,2HoqbEOXgbDSLZ5XCePEXt,119880,Soul,2021-06-04,4,['Ray Charles'],['1eYhYunlNJlDoQhtYBvPsi'],blues
868,Woman,58,3CkjLJYnnyOtGk4Jx4iYS4,176306,Wolfmother,2006-01-01,13,['Wolfmother'],['3yEnArbNHyTCwMRvD9SBy4'],blues
869,Dream A Little Dream Of Me - Single Version,64,78MI7mu1LV1k4IA2HzKmHe,185160,"Love, Ella",2007-05-03,14,"['Ella Fitzgerald', 'Louis Armstrong']","['5V0MlUE1Bft0mbLlND7FJz', '19eLuQmk9aCobbVDHc6eek']",blues
870,Back Against the Wall,56,0vz64VTiPPBpcmla0QvAI9,228320,Cage The Elephant (Expanded Edition),2009-03-24,12,['Cage The Elephant'],['26T3LtbuGT1Fu9m0eRq5X3'],blues
871,Metaverse,59,49ukvVBtVT9Y575F6VY33G,134373,Neon Pill,2024-05-17,12,['Cage The Elephant'],['26T3LtbuGT1Fu9m0eRq5X3'],blues
872,Howling At Nothing,57,2YhAqgvjzU2Rw44rAqzGl6,189853,Nathaniel Rateliff & The Night Sweats,2015-08-21,11,['Nathaniel Rateliff & The Night Sweats'],['02seUFsFQP7TH4hLrTj77o'],blues
873,Come Together,60,45HAjqRWiNv6mMPw4NvZrU,193714,Come Together,2017-09-08,1,"['Gary Clark Jr.', 'Junkie XL']","['01aC2ikO4Xgb2LUpf9JfKp', '5svDnd8joFhbpbA3Ar0CfN']",blues
874,Skin and Bones,57,6ubPFMzlIg73d1jzzWcC8B,196173,Social Cues,2019-04-19,13,['Cage The Elephant'],['26T3LtbuGT1Fu9m0eRq5X3'],blues
875,I Need Never Get Old,58,6YfEvtwpQwGAWZBWzNmoIw,253733,Nathaniel Rateliff & The Night Sweats,2015-08-21,11,['Nathaniel Rateliff & The Night Sweats'],['02seUFsFQP7TH4hLrTj77o'],blues
