album_id,album_name,release_date,total_tracks
64,Good Light,2013-02-19,12
65,Disney Guitar: Blissful,2021-07-23,7
66,Range Rover,2021-05-21,1
67,I Won't Give Up,2012-01-03,1
68,Disney Guitar: Serenity,2022-01-07,7
69,Disney Guitar: Breathe,2020-08-07,7
70,A Face Like Mine,2017-04-21,9
71,The Civil Wars,2013-08-02,12
72,Episode,2021-10-15,14
73,マホロボシヤ,2016-10-19,11
74,Mystical Magical Rhythmical Radical Ride,2023-06-23,10
75,People Who Eat People Are The Luckiest People In The World,2007-09-11,11
76,What's Left of You,2021-06-04,1
77,Finch,2019-08-02,11
78,O,2003-06-03,10
79,"When You Wish Upon a Star (From ""Disney 100"")",2023-05-15,1
80,Calm Down (with Selena Gomez),2022-08-25,1
81,Black Star Elephant,,21
82,Born in the Wild,2024-06-06,18
83,For Broken Ears,2020-09-25,7
84,Rave & Roses Ultra,2023-04-27,22
85,Love Me JeJe,2024-04-25,1
86,Made In Lagos,2020-10-29,14
87,People,2022-12-06,1
88,CKay The First,2019-08-30,8
89,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,1
90,The Year I Turned 21,2024-05-30,15
91,Me & U,2023-10-05,1
92,Found (feat. Brent Faiyaz),2021-09-09,1
93,Calle 13 (Explicit Version),,17
94,Boy Alone,2022-07-14,14
95,"Soweto (with Don Toliver, Rema and Tempoe)",2023-03-22,1
96,Fountain Baby,2023-06-09,14
97,Higher,2024-06-27,1
98,Wave,2024-06-20,1
99,I Told Them...,2023-08-24,15
100,Holy Ghost,2023-11-09,1
101,Outside,2018-01-26,12
102,Monalisa,2022-05-19,1
103,Let My People Go,2005-01-24,9
104,If Orange Was A Place,2021-09-14,5
105,"Love, Damini",2022-07-07,19
106,Favourite Girl,2024-05-02,1
107,HEIS,2024-07-10,11
108,Timeless,2023-03-30,17
109,Work Of Art,2023-06-15,14
110,KU LO SA - A COLORS SHOW,2022-06-10,1
111,THENIGHTISYOUNG.,2019-02-22,4
112,Calm Down,2022-02-10,2
113,"Love, Damini",2022-07-06,19
114,Happiness (feat. Asake & Gunna),2023-12-07,1
115,19 & Dangerous (Deluxe),2022-10-21,16
116,Rush,2022-09-16,1
117,People (Remixes),2023-03-31,4
118,Playboy,2022-08-04,14
119,Realms,2020-09-10,7
120,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,1
121,Finesse,2022-03-03,1
122,Black Panther: Wakanda Forever - Music From and Inspired By,2022-11-11,20
123,22,2023-02-22,1
124,Mr. Money With The Vibe,2022-09-07,12
125,Afrowave 2,2018-07-06,9
126,Rave & Roses,2022-03-24,16
127,I Told Them...,2023-08-23,15
128,BENIN BOYS,2024-06-20,1
129,Rema,2019-03-22,4
130,KICK BACK,2022-10-12,1
131,Jireh (My Provider),2022-07-01,1
132,Not An Angel,2023-12-08,1
133,The Budos Band,2005-11-29,11
134,Maverick,2023-07-27,20
135,Trench to Triumph,2023-07-21,13
136,Outlaw,2022-05-06,7
137,Essence (feat. Justin Bieber & Tems),2021-08-13,1
138,Everyday,2024-05-02,1
139,Soweto,2023-03-21,6
140,Boy Alone (Deluxe),2023-06-15,20
141,I Could Sing of Your Love,2020-04-07,1
142,YAWA,2023-06-22,1
143,I Love You.,2013-04-19,11
144,14 minutes,2024-05-03,8
145,Hot Fuss,,12
146,Melophobia,2013-10-08,10
147,Bleed American,2001-07-17,11
148,TALKING IS HARD,2014-12-02,12
149,Toxicity,2001-09-04,15
150,Silver Side Up,2001-09-11,10
151,Torches,2011-05-23,10
152,Demon Days,2005-05-23,15
153,Elephant,2003-04-01,14
154,Weezer,2001-05-15,10
155,Hybrid Theory (Bonus Edition),,15
156,Never Trust a Happy Song,2011-09-02,12
157,Wiped Out!,2015-10-30,11
158,Oracular Spectacular,2007-12-14,10
159,By the Way (Deluxe Edition),2002-07-09,18
160,Cage The Elephant (Expanded Edition),2009-03-24,12
161,More Than Just a Dream (Deluxe Edition),2013-05-07,14
162,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,21
163,"Rise And Fall, Rage And Grace",2008-06-17,12
164,Franz Ferdinand,2004-02-16,11
165,Meteora,2003-09-16,13
166,Lungs (Deluxe Edition),,24
167,The Better Life,,11
168,Dopamine,2015-10-16,11
169,Infest,2001-04-25,13
170,Stadium Arcadium,2006-05-09,29
171,Them Vs. You Vs. Me (Deluxe Edition),2007-01-01,16
172,A/B,2016-06-10,10
173,Minutes to Midnight,2007-05-14,12
174,Vol. 3: The Subliminal Verses,,22
175,White Pony,2000-05-16,12
176,Three Days Grace,2003-04-19,12
177,The New Abnormal,2020-04-10,9
178,One-X,2006-06-25,12
179,Good News For People Who Love Bad News,2004-04-05,16
180,Is This It,2001-07-30,11
181,Appeal To Reason,2008-01-01,14
182,Finding Beauty In Negative Spaces (Bonus Track Version),2007-01-01,14
183,Tourist History,2010-02-17,10
184,Room On Fire,2003-10-28,11
185,Awake,2009-08-21,12
186,Audioslave,2002-11-17,14
187,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020-09-18,19
188,From Chaos,2001-06-19,12
189,Hypnotize,2005-11-22,12
190,Move Along,2005-01-01,12
191,When The World Comes Down,2008-01-01,17
192,blink-182,2003-01-01,15
193,Dark Horse,2008-10-28,11
194,Diamond Eyes,,11
195,El Camino,2011-12-06,11
196,Saturday Night Wrist,2006-10-25,12
197,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,15
198,"Echoes, Silence, Patience & Grace",2007-09-25,12
199,"All Killer, No Filler",2001-01-01,13
200,Sam's Town,2006-09-27,12
201,Brothers,2010-05-18,15
202,Onka's Big Moka,,12
203,Wonder What's Next (Expanded Edition),,15
204,The Young and The Hopeless,2002-10-04,14
205,Gorillaz,,18
206,Karma and Effect,2005-01-01,14
207,This Is All Yours,2014-09-22,14
208,My Type EP,2014-08-16,4
209,Black Holes and Revelations,2006-06-19,12
210,Being Funny In A Foreign Language,2022-10-14,11
211,Make Believe,2005-05-10,12
212,Writer's Block,2006-01-01,11
213,Little Dark Age,2018-02-09,10
214,An Awesome Wave,2012-09-18,14
215,Plastic Beach,2010-03-03,16
216,.5: The Gray Chapter (Special Edition),2014-10-15,16
217,Away From The Sun,2002-11-12,12
218,Getting Away With Murder,2004-01-01,12
219,Take Off Your Pants And Jacket,,13
220,Wolfgang Amadeus Phoenix,2009-05-25,10
221,The Reason (20th Anniversary),2024-01-12,17
222,Nasty,2024-04-12,1
223,Fallen,2003-03-04,12
224,Coastal Grooves,2011-08-30,10
225,Alibi (with Pabllo Vittar & Yseult),2024-06-28,1
226,Weathered,2001-01-01,11
227,All My Life,2024-06-06,2
228,Halo,2023-09-21,11
229,At What Cost,2017-03-24,14
230,Break the Cycle,2001-08-20,13
231,Hell N Back (feat. Summer Walker),2023-09-21,1
232,Don't You Fake It,2006-01-01,11
233,Hail to the King,2013-08-23,10
234,Phobia (Clean Version),2006-01-01,13
235,Chase Atlantic,2017-10-04,14
236,Ocean Avenue,2003-01-01,13
237,War Is the Answer,2009-09-22,14
238,Come Clean,2001-08-28,12
239,A Collection of Fleeting Moments and Daydreams,2020-01-06,10
240,Popular Monster,2019-11-20,1
241,Hell N Back,2019-08-15,1
242,Nostalgia - EP,2015-02-21,5
243,Cigarettes After Sex,2017-06-09,10
244,Cry,2019-10-25,9
245,Inca Ore / Grouper,2008-06-03,11
246,X's,2024-07-12,10
247,Lens Flare,2021-10-29,8
248,Bathing Beach,2017-05-26,4
249,i was only temporary,2023-10-20,1
250,Not Songs,2019-06-28,10
251,I.,2012-07-21,4
252,Birthplace,2018-10-19,10
253,Drukqs,2001-10-22,30
254,In A Time Lapse,2013-01-01,14
255,hurry up mixtape,2021-08-01,4
256,Adieux,2024-01-05,1
257,green to blue (slowed + reverbed),2022-10-06,1
258,memories,2022-09-23,1
259,Idea 10,2022-07-09,1
260,you not the same,2021-03-05,1
261,Tejano Blue,2024-02-28,1
262,Baby Blue Movie,2024-06-04,1
263,New Home (Slowed),2021-05-26,1
264,You're All I Want,2020-05-26,1
265,Tastes Like Velvet,2022-11-23,3
266,New Home,2021-05-11,1
267,stellar,2023-06-23,1
268,daydream.,2023-03-06,5
269,Bubblegum,2023-07-18,2
270,Idea 9,2023-05-26,1
271,Weightless (Ambient Transmission Vol. 2),,6
272,Transitions III,2020-06-05,8
273,Turning Page,2012-06-18,2
274,Idea 22,2022-12-16,1
275,Crush,2018-07-09,2
276,Fragments Found,2010-10-29,10
277,you not the same (slowed down version),2021-04-02,1
278,The Ambient Zone Just Music Cafe Vol 4,2012-10-29,12
279,Idea 1,2022-08-16,1
280,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),2001-04-23,15
281,DARK BLOOD,2023-05-22,6
282,i was only temporary (Remixes),2023-12-14,3
283,Dark Vacay,2024-04-16,1
284,i was only temporary 2 u,2023-12-10,1
285,Affection,2015-01-01,2
286,blurred moon,2022-09-28,1
287,Gods creation,2022-07-31,1
288,Not Allowed,2022-11-19,1
289,"Covers, Vol. 2",2016-11-04,10
290,Once Upon a Time,2022-02-01,1
291,Backroom,2022-06-29,4
292,Idea 15,2023-08-18,1
