album_id,album_name,release_date,total_tracks
64,Range Rover,2021-05-21,1
65,Good Light,2013-02-19,12
66,I Won't Give Up,2012-01-03,1
67,Disney Guitar: Blissful,2021-07-23,7
68,A Face Like Mine,2017-04-21,9
69,"When You Wish Upon a Star (From ""Disney 100"")",2023-05-15,1
70,Disney Guitar: Breathe,2020-08-07,7
71,Disney Guitar: Serenity,2022-01-07,7
72,Episode,2021-10-15,14
73,The Civil Wars,2013-08-02,12
74,What's Left of You,2021-06-04,1
75,マホロボシヤ,2016-10-19,11
76,Mystical Magical Rhythmical Radical Ride,2023-06-23,10
77,Finch,2019-08-02,11
78,MONOVISION,2020-06-26,10
79,O,2003-06-03,10
80,Light Verse,2024-04-26,10
81,Goodbye Road,2018-05-04,5
82,Disney Guitar: Magical,2022-03-18,2
83,Disney Guitar: Peace,2022-04-01,2
84,Calm Down (with Selena Gomez),2022-08-25,1
85,Born in the Wild,2024-06-06,18
86,Black Star Elephant,,21
87,For Broken Ears,2020-09-25,7
88,Love Me JeJe,2024-04-25,1
89,Rave & Roses Ultra,2023-04-27,22
90,Made In Lagos,2020-10-29,14
91,People,2022-12-06,1
92,The Year I Turned 21,2024-05-30,15
93,CKay The First,2019-08-30,8
94,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,1
95,Me & U,2023-10-05,1
96,Found (feat. Brent Faiyaz),2021-09-09,1
97,Boy Alone,2022-07-14,14
98,Calle 13 (Explicit Version),,17
99,"Soweto (with Don Toliver, Rema and Tempoe)",2023-03-22,1
100,Fountain Baby,2023-06-09,14
101,I Told Them...,2023-08-24,15
102,Higher,2024-06-27,1
103,Wave,2024-06-20,1
104,Holy Ghost,2023-11-09,1
105,Outside,2018-01-26,12
106,Monalisa,2022-05-19,1
107,Let My People Go,2005-01-24,9
108,"Love, Damini",2022-07-07,19
109,If Orange Was A Place,2021-09-14,5
110,Timeless,2023-03-30,17
111,Work Of Art,2023-06-15,14
112,KU LO SA - A COLORS SHOW,2022-06-10,1
113,Favourite Girl,2024-05-02,1
114,THENIGHTISYOUNG.,2019-02-22,4
115,Calm Down,2022-02-10,2
116,RU The World,2023-09-01,17
117,Happiness (feat. Asake & Gunna),2023-12-07,1
118,19 & Dangerous (Deluxe),2022-10-21,16
119,"Love, Damini",2022-07-06,19
120,HEIS,2024-07-10,11
121,Rush,2022-09-16,1
122,People (Remixes),2023-03-31,4
123,Playboy,2022-08-04,14
124,Realms,2020-09-10,7
125,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],2021-09-09,1
126,Finesse,2022-03-03,1
127,BENIN BOYS,2024-06-20,1
128,Black Panther: Wakanda Forever - Music From and Inspired By,2022-11-11,20
129,I Told Them...,2023-08-23,15
130,22,2023-02-22,1
131,Mr. Money With The Vibe,2022-09-07,12
132,Outlaw,2022-05-06,7
133,Afrowave 2,2018-07-06,9
134,Rave & Roses,2022-03-24,16
135,HEHEHE,2024-07-07,1
136,Jireh (My Provider),2022-07-01,1
137,Not An Angel,2023-12-08,1
138,Rema,2019-03-22,4
139,Trench to Triumph,2023-07-21,13
140,Maverick,2023-07-27,20
141,The Budos Band,2005-11-29,11
142,Everyday,2024-05-02,1
143,Essence (feat. Justin Bieber & Tems),2021-08-13,1
144,YAWA,2023-06-22,1
145,I Could Sing of Your Love,2020-04-07,1
146,ZaZa Vibes,2020-11-25,12
147,Carpe Diem,2020-10-07,12
148,Egwu,2023-12-15,1
149,I Love You.,2013-04-19,11
150,Hot Fuss,,12
151,14 minutes,2024-05-03,8
152,Melophobia,2013-10-08,10
153,Bleed American,2001-07-17,11
154,TALKING IS HARD,2014-12-02,12
155,Toxicity,2001-09-04,15
156,Silver Side Up,2001-09-11,10
157,Torches,2011-05-23,10
158,Elephant,2003-04-01,14
159,Weezer,2001-05-15,10
160,Demon Days,2005-05-23,15
161,Hybrid Theory (Bonus Edition),,15
162,Never Trust a Happy Song,2011-09-02,12
163,Wiped Out!,2015-10-30,11
164,Oracular Spectacular,2007-12-14,10
165,By the Way (Deluxe Edition),2002-07-09,18
166,More Than Just a Dream (Deluxe Edition),2013-05-07,14
167,Cage The Elephant (Expanded Edition),2009-03-24,12
168,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,21
169,"Rise And Fall, Rage And Grace",2008-06-17,12
170,Meteora,2003-09-16,13
171,Franz Ferdinand,2004-02-16,11
172,Lungs (Deluxe Edition),,24
173,The Better Life,,11
174,Dopamine,2015-10-16,11
175,Infest,2001-04-25,13
176,Stadium Arcadium,2006-05-09,29
177,Minutes to Midnight,2007-05-14,12
178,Them Vs. You Vs. Me (Deluxe Edition),2007-01-01,16
179,A/B,2016-06-10,10
180,The New Abnormal,2020-04-10,9
181,White Pony,2000-05-16,12
182,One-X,2006-06-25,12
183,Vol. 3: The Subliminal Verses,,22
184,Three Days Grace,2003-04-19,12
185,Is This It,2001-07-30,11
186,Good News For People Who Love Bad News,2004-04-05,16
187,Appeal To Reason,2008-01-01,14
188,Finding Beauty In Negative Spaces (Bonus Track Version),2007-01-01,14
189,Tourist History,2010-02-17,10
190,Awake,2009-08-21,12
191,Room On Fire,2003-10-28,11
192,From Chaos,2001-06-19,12
193,Audioslave,2002-11-17,14
194,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020-09-18,19
195,Hypnotize,2005-11-22,12
196,Move Along,2005-01-01,12
197,Diamond Eyes,,11
198,Dark Horse,2008-10-28,11
199,blink-182,2003-01-01,15
200,When The World Comes Down,2008-01-01,17
201,El Camino,2011-12-06,11
202,Saturday Night Wrist,2006-10-25,12
