album_id,album_name,release_date,total_tracks
48,Mr. Money With The Vibe,2022-09-07,12
49,Afrowave 2,2018-07-06,9
50,Rave & Roses,2022-03-24,16
51,I Told Them...,2023-08-23,15
52,Rema,2019-03-22,4
53,Jireh (My Provider),2022-07-01,1
54,KICK BACK,2022-10-12,1
55,BENIN BOYS,2024-06-20,1
56,The Budos Band,2005-11-29,11
57,Not An Angel,2023-12-08,1
58,Maverick,2023-07-27,20
59,Soweto,2023-03-21,6
60,Trench to Triumph,2023-07-21,13
61,Boy Alone (Deluxe),2023-06-15,20
62,Essence (feat. Justin Bieber & Tems),2021-08-13,1
63,I Could Sing of Your Love,2020-04-07,1
64,Everyday,2024-05-02,1
65,Outlaw,2022-05-06,7
66,African Giant,2019-07-24,19
67,I Love You.,2013-04-19,11
68,14 minutes,2024-05-03,8
69,Hot Fuss,,12
70,Melophobia,2013-10-08,10
71,Bleed American,2001-07-17,11
72,TALKING IS HARD,2014-12-02,12
73,Toxicity,2001-09-04,15
74,Silver Side Up,2001-09-11,10
75,Demon Days,2005-05-23,15
76,Torches,2011-05-23,10
77,Weezer,2001-05-15,10
78,Elephant,2003-04-01,14
79,Hybrid Theory (Bonus Edition),,15
80,Never Trust a Happy Song,2011-09-02,12
81,Wiped Out!,2015-10-30,11
82,Oracular Spectacular,2007-12-14,10
83,By the Way (Deluxe Edition),2002-07-09,18
84,Cage The Elephant (Expanded Edition),2009-03-24,12
85,More Than Just a Dream (Deluxe Edition),2013-05-07,14
86,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,21
87,"Rise And Fall, Rage And Grace",2008-06-17,12
88,Franz Ferdinand,2004-02-16,11
89,Lungs (Deluxe Edition),,24
90,The Better Life,,11
91,Dopamine,2015-10-16,11
92,Infest,2001-04-25,13
93,Stadium Arcadium,2006-05-09,29
94,Them Vs. You Vs. Me (Deluxe Edition),2007-01-01,16
95,A/B,2016-06-10,10
96,Vol. 3: The Subliminal Verses,,22
97,Three Days Grace,2003-04-19,12
98,White Pony,2000-05-16,12
99,Minutes to Midnight,2007-05-14,12
100,One-X,2006-06-25,12
101,The New Abnormal,2020-04-10,9
102,Good News For People Who Love Bad News,2004-04-05,16
103,Is This It,2001-07-30,11
104,Appeal To Reason,2008-01-01,14
105,Finding Beauty In Negative Spaces (Bonus Track Version),2007-01-01,14
106,Tourist History,2010-02-17,10
107,Meteora,2003-09-16,13
108,Room On Fire,2003-10-28,11
109,Awake,2009-08-21,12
110,Audioslave,2002-11-17,14
111,Hypnotize,2005-11-22,12
112,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020-09-18,19
113,From Chaos,2001-06-19,12
114,Move Along,2005-01-01,12
115,blink-182,2003-01-01,15
116,When The World Comes Down,2008-01-01,17
117,Dark Horse,2008-10-28,11
118,Diamond Eyes,,11
119,El Camino,2011-12-06,11
120,Saturday Night Wrist,2006-10-25,12
121,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,15
122,"Echoes, Silence, Patience & Grace",2007-09-25,12
123,"All Killer, No Filler",2001-01-01,13
124,Sam's Town,2006-09-27,12
125,Brothers,2010-05-18,15
126,Onka's Big Moka,,12
127,Wonder What's Next (Expanded Edition),,15
128,The Young and The Hopeless,2002-10-04,14
129,Karma and Effect,2005-01-01,14
130,Gorillaz,,18
131,This Is All Yours,2014-09-22,14
132,My Type EP,2014-08-16,4
